name	kind	description	growth rate	learn set	hp	attk	def	speed	spcattk	spdef	baseexp	breedingcomp	eggmoves	gender	happiness	steps to hatch egg	"wild items (25%,8%"	type	tms/hms
ALAKAZAM	Psi Pokémon	"It loves to work out and build its muscles. It is never satisfied, even if it trains hard all day long."	"Parabolic (max: 1,059,860 EXP)"	"  1,100,  1,134,  1, 93, 16, 93, 18, 50, 21, 60, 26,105, 31,248, 38, 94, 45,115"	55	50	45	120	135	85	186	"8,8"		"25% female, 75% male"	70	5120	","	PSYCHIC	010203    0607  091011  13  15  1718  2021          27282930  32333435          4142  444546  48  50        H5    
MACHOP	Superpower Pokémon	"The muscles cover- ing its body teem with power. Even when still, it exudes an amazing sense of strength."	"Parabolic (max: 1,059,860 EXP)"	"  1, 67,  1, 43,  7,116, 13,  2, 19, 69, 25,193, 31,233, 37,238, 43,184, 49, 66"	70	80	50	35	35	35	88	"8,8"	"113, 96, 27, 227"	"25% female, 75% male"	70	5120	","	FIGHTING	010203    06  08  1011  13      17    2021        262728    3132333435    38    41  43444546  48          H4      
MACHOKE	Superpower Pokémon	"It uses its four powerful arms to pin the limbs of its foe, then throws the victim over the horizon."	"Parabolic (max: 1,059,860 EXP)"	"  1, 67,  1, 43,  1,116,  8,116, 15,  2, 19, 69, 25,193, 34,233, 43,238, 52,184, 61, 66"	80	100	70	45	50	60	146	"8,8"		"25% female, 75% male"	70	5120	","	FIGHTING	010203    06  08  1011  13      17    2021        262728    3132333435    38    41  43444546  48          H4      
MACHAMP	Superpower Pokémon	It plants its feet deep underground to replenish wa- ter. It can't es- cape its enemy while it's rooted.	"Parabolic (max: 1,059,860 EXP)"	"  1, 67,  1, 43,  1,116,  8,116, 15,  2, 19, 69, 25,193, 34,233, 43,238, 52,184, 61, 66"	90	130	80	55	65	85	193	"8,8"		"25% female, 75% male"	70	5120	","	FIGHTING	010203    06  08  1011  13  15  17    2021        262728    3132333435    38    41  43444546  48          H4      
BELLSPROUT	Flower Pokémon	"If its prey is bigger than its mouth, it slices up the victim with sharp leaves, then eats every morsel."	"Parabolic (max: 1,059,860 EXP)"	"  1, 22,  6, 74, 11, 35, 15, 79, 17, 77, 19, 78, 23, 51, 30,230, 37, 75, 45, 21"	50	75	35	40	70	30	84	"7,7"	"14, 227, 115, 235, 141"	"50% female, 50% male"	70	5120	","	GRASS/POISON	    03    06      10111213      17  19202122        27        32  343536              4445          H1      H5    
WEEPINBELL	Flycatcher Pokémon	"This horrifying plant POKéMON at- tracts prey with aromatic honey, then melts them in its mouth."	"Parabolic (max: 1,059,860 EXP)"	"  1, 22,  1, 74,  1, 35,  6, 74, 11, 35, 15, 79, 17, 77, 19, 78, 24, 51, 33,230, 42, 75, 54, 21"	65	90	50	55	85	45	151	"7,7"		"50% female, 50% male"	70	5120	","	GRASS/POISON	    03    06      10111213      17  19202122        27        32  343536              4445          H1      H5    
VICTREEBEL	Flycatcher Pokémon	"It drifts aimless- ly in waves. Very difficult to see in water, it may not be noticed until it stings."	"Parabolic (max: 1,059,860 EXP)"	"  1, 22,  1, 79,  1,230,  1, 75"	80	105	65	70	100	60	191	"7,7"		"50% female, 50% male"	70	5120	","	GRASS/POISON	    03    06      10111213  15  17  19202122        27        32  343536              4445          H1      H5    
TENTACOOL	Jellyfish Pokémon	"In battle, it extends all 80 of its tentacles to entrap its oppo- nent inside a poisonous net."	"Slow (max: 1,250,000 EXP)"	"  1, 40,  6, 48, 12,132, 19, 51, 25, 61, 30, 35, 36,112, 43,103, 49, 56"	40	40	35	70	50	100	105	"9,9"	"62, 243, 229, 114, 219"	"50% female, 50% male"	70	5120	","	WATER/POISON	    03    06      10    1314  161718192021          27        32  343536              4445          H1  H3    H6  
TENTACRUEL	Jellyfish Pokémon	It uses its arms to steadily climb steep mountain paths. It swings its fists around if angered.	"Slow (max: 1,250,000 EXP)"	"  1, 40,  1, 48,  1,132,  6, 48, 12,132, 19, 51, 25, 61, 30, 35, 38,112, 47,103, 55, 56"	80	70	65	100	80	120	205	"9,9"		"50% female, 50% male"	70	5120	","	WATER/POISON	    03    06      10    131415161718192021          27        32  343536              4445          H1  H3    H6  
GEODUDE	Rock Pokémon	"A slow walker, it rolls to move. It pays no attention to any object that happens to be in its path."	"Parabolic (max: 1,059,860 EXP)"	"  1, 33,  6,111, 11, 88, 16,222, 21,120, 26,106, 31,205, 36, 89, 41,153"	40	80	100	20	30	30	86	"10,10"	"5, 157"	"50% female, 50% male"	70	3840	",BIG PEARL"	ROCK/GROUND	01020304  06  08  1011  13      17    2021        262728    3132  3435  3738  40      4445    48          H4      
GRAVELER	Rock Pokémon	It is capable of blowing itself up. It uses this explosive force to jump from mountain to mountain.	"Parabolic (max: 1,059,860 EXP)"	"  1, 33,  1,111,  1, 88,  6,111, 11, 88, 16,222, 21,120, 27,106, 34,205, 41, 89, 48,153"	55	95	115	35	45	45	134	"10,10"		"50% female, 50% male"	70	3840	",BIG PEARL"	ROCK/GROUND	01020304  06  08  1011  13      17    2021        262728    3132  3435  3738  40      4445    48          H4      
GOLEM	Megaton Pokémon	"Its hind legs, which have hard- er-than-diamond hooves, kick back at any presence it senses behind it."	"Parabolic (max: 1,059,860 EXP)"	"  1, 33,  1,111,  1, 88,  1,222,  6,111, 11, 88, 16,222, 21,120, 27,106, 34,205, 41, 89, 48,153"	80	110	130	45	55	65	177	"10,10"		"50% female, 50% male"	70	3840	",BIG PEARL"	ROCK/GROUND	010203040506  08  1011  13  15  17    2021        262728    3132  3435  3738  40      4445    4849        H4      
PONYTA	Fire Horse Pokémon	"With incredible acceleration, it reaches its top speed of 150 mph after running just ten steps."	"Medium (max: 1,000,000 EXP)"	"  1, 33,  4, 45,  8, 39, 13, 52, 19, 23, 26, 83, 34, 36, 43, 97, 53,126"	50	85	55	90	65	65	152	"5,5"	"172, 37, 24, 95, 204, 98"	"50% female, 50% male"	70	5120	","	FIRE	  0203    06      1011  13      17    2021  23      27        32  3435    3839        4445                        
RAPIDASH	Fire Horse Pokémon	"A sweet sap leaks from its tail's tip. Although not nutritious, the tail is pleasant to chew on."	"Medium (max: 1,000,000 EXP)"	"  1, 33,  1, 45,  1, 39,  1, 52,  4, 45,  8, 39, 13, 52, 19, 23, 26, 83, 34, 36, 40, 31, 47, 97, 61,126"	65	100	70	105	80	80	192	"5,5"		"50% female, 50% male"	70	5120	","	FIRE	  0203    06      1011  13  15  17    2021  23      27        32  3435    3839        4445                        
SLOWPOKE	Dopey Pokémon	"Naturally dull to begin with, it lost its ability to feel pain due to SHELLDER's seeping poison."	"Medium (max: 1,000,000 EXP)"	"  1,174,  1, 33,  6, 45, 15, 55, 20, 93, 29, 50, 34, 29, 43,133, 48, 94"	90	65	65	15	40	40	99	"1,2"	"219, 187, 248, 23"	"50% female, 50% male"	70	5120	",POISON BARB"	WATER/PSYCHIC	  0203    0607  091011  1314  161718  2021  23    26272829303132  3435    3839    42  4445        50    H3H4H5    
SLOWBRO	Hermit Crab Pokémon	The units at the sides of its body generate anti- gravity energy to keep it aloft in the air.	"Medium (max: 1,000,000 EXP)"	"  1,174,  1, 33,  1, 45,  1, 55,  6, 45, 15, 55, 20, 93, 29, 50, 34, 29, 37,110, 46,133, 54, 94"	95	75	110	30	100	80	164	"1,2"		"50% female, 50% male"	70	5120	",POISON BARB"	WATER/PSYCHIC	010203    060708091011  131415161718  2021  23    26272829303132333435    3839    42  4445      4950    H3H4H5    
MAGNEMITE	Magnet Pokémon	"The MAGNEMITE are united by a mag- netism so power- ful, it dries all moisture in its vicinities."	"Medium (max: 1,000,000 EXP)"	"  1, 33,  6, 84, 11, 48, 16, 49, 21, 86, 27,199, 33,129, 39,103, 45,192"	25	35	70	45	95	55	89	"10,10"		Genderless	70	5120	",TERU-SAMA"	ELECTRIC/STEEL	    0304  0607    10    13      1718  2021      25  27        32  3435      39        44                    H5    
MAGNETON	Magnet Pokémon	"If it eats the plant stick it carries as emer- gency rations, it runs off in search of a new stick."	"Medium (max: 1,000,000 EXP)"	"  1, 33,  1, 84,  1, 48,  1, 49,  6, 84, 11, 48, 16, 49, 21, 86, 27,199, 35,129, 43,103, 53,192"	50	60	95	70	120	70	161	"10,10"		Genderless	70	5120	",TERU-SAMA"	ELECTRIC/STEEL	    0304  0607    10    13  15  1718  2021      25  27        32  3435      39        44                    H5    
FARFETCH'D	Wild Duck Pokémon	"It races through grassy plains with powerful strides, leaving footprints up to four inches deep."	"Medium (max: 1,000,000 EXP)"	"  1, 64,  7, 28, 13, 43, 19, 31, 25, 14, 31, 97, 37,163, 44,206"	52	65	55	60	58	62	94	"4,5"	"211, 193, 119, 16, 98, 175"	"50% female, 50% male"	70	5120	",PINK BOW"	NORMAL/FLYING	  0203    06    091011  13      17    2021  23      27      3132  3435      39      4344454647      H1H2          
DODUO	Twin Bird Pokémon	"If one of the heads gets to eat, the others will be satisfied, too, and they will stop squabbling."	"Medium (max: 1,000,000 EXP)"	"  1, 64,  1, 45,  9,228, 13, 31, 21,161, 25, 99, 33, 65, 37, 97"	35	85	45	75	35	35	96	"4,4"	"98, 48, 114, 185, 175"	"50% female, 50% male"	70	5120	","	NORMAL/FLYING	    03    06      1011  13      17    2021          27      3132  3435      39        44454647        H2          
DODRIO	Triple Bird Pokémon	"In daytime, it is often found asleep on the seabed in shallow waters. Its nostrils close while it swims."	"Medium (max: 1,000,000 EXP)"	"  1, 64,  1, 45,  1,228,  1, 31,  9,228, 13, 31, 21,161, 25, 99, 38, 65, 47, 97"	60	110	70	100	60	60	158	"4,4"		"50% female, 50% male"	70	5120	",SOFT SAND"	NORMAL/FLYING	    03    06      1011  13  15  17    2021          27      3132  3435      39        44454647        H2          
SEEL	Sea Lion Pokémon	It loves frigid seas with ice floes. It uses its long tail to change swimming direction quickly.	"Medium (max: 1,000,000 EXP)"	"  1, 29,  5, 45, 16, 62, 21,156, 32, 36, 37, 58, 48,219"	65	45	55	45	45	70	100	"2,5"	"122, 195, 50, 64, 21, 227"	"50% female, 50% male"	70	5120	","	WATER	  0203    06      10    1314  161718  2021          27        32  3435                4445              H3    H6H7
DEWGONG	Sea Lion Pokémon	"Wherever GRIMER has passed, so many germs are left behind that no plants will ever grow again."	"Medium (max: 1,000,000 EXP)"	"  1, 29,  1, 45,  1, 62,  5, 45, 16, 62, 21,156, 32, 36, 43, 58, 60,219"	90	70	80	70	70	95	176	"2,5"		"50% female, 50% male"	70	5120	","	WATER/ICE	  0203    06      10    131415161718  2021          27        32  3435                4445              H3    H6H7
GRIMER	Sludge Pokémon	Its body is made of a powerful poi- son. Touching it accidentally will cause a fever that requires bed rest.	"Medium (max: 1,000,000 EXP)"	"  1,139,  1,  1,  5,106, 10, 50, 16,124, 23,107, 31,103, 40,151, 50,188"	80	80	50	25	40	50	90	"11,11"	"114, 212, 122"	"50% female, 50% male"	70	5120	",METAL POWDER"	POISON	01  03    0607    1011  13      17  192021      25  27      313233343536  38    41    444546  48                  
MUK	Sludge Pokémon	Grains of sand trapped in its shells mix with its body fluids to form beautiful pearls.	"Medium (max: 1,000,000 EXP)"	"  1,139,  1,  1,  1,106, 33,106, 37, 50, 45,124, 23,107, 31,103, 45,151, 60,188"	105	105	75	50	65	100	157	"11,11"		"50% female, 50% male"	70	5120	",METAL POWDER"	POISON	01  03    0607    1011  13  15  17  192021      25  27      313233343536  38    41    444546  48                  
SHELLDER	Bivalve Pokémon	"CLOYSTER that live in seas with harsh tidal currents grow large, sharp spikes on their shells."	"Slow (max: 1,250,000 EXP)"	"  1, 33,  1,110,  9, 48, 17, 62, 25,182, 33, 43, 41,128, 49, 58"	30	65	100	40	45	25	97	"9,9"	"61, 36, 112, 229, 103"	"50% female, 50% male"	70	5120	"MIRACLEBERRY,PEARL"	WATER	    03    06      10    1314  161718  2021          27        32  3435      39        4445              H3    H6  
CLOYSTER	Bivalve Pokémon	Its thin body is made of gas. It can envelop an opponent of any size and cause suffocation.	"Slow (max: 1,250,000 EXP)"	"  1,110,  1, 48,  1, 62,  1,182, 41,131"	50	95	180	70	85	45	203	"9,9"		"50% female, 50% male"	70	5120	"MIRACLEBERRY,PEARL"	WATER/ICE	    03    06      10    131415161718  2021          27        32  3435      39        4445              H3    H6  
GASTLY	Gas Pokémon	"Its tongue is made of gas. If licked, its victim starts shaking constantly until death even- tually comes."	"Parabolic (max: 1,059,860 EXP)"	"  1, 95,  1,122,  8,180, 13,212, 16,174, 21,101, 28,109, 33,138, 36,194"	30	35	30	80	100	35	95	"11,11"	"149, 195, 114"	"50% female, 50% male"	70	5120	","	GHOST/POISON	    03    0607  091011  13      1718192021      25  27  2930  32  3435            42  444546      50              
HAUNTER	Gas Pokémon	"To steal the life of its target, it slips into the prey's shadow and silently waits for an opportunity."	"Parabolic (max: 1,059,860 EXP)"	"  1, 95,  1,122,  1,180,  8,180, 13,212, 16,174, 21,101, 31,109, 39,138, 48,194"	45	50	45	95	115	55	126	"11,11"		"50% female, 50% male"	70	5120	","	GHOST/POISON	    03    0607  091011  13      1718192021      25  27  2930  32  3435            42  444546      50              
GENGAR	Shadow Pokémon	"It rapidly bores through the ground at 50 mph by squirming and twisting its mas- sive, rugged body."	"Parabolic (max: 1,059,860 EXP)"	"  1, 95,  1,122,  1,180,  8,180, 13,212, 16,174, 21,101, 31,109, 39,138, 48,194"	60	65	60	110	130	75	190	"11,11"		"50% female, 50% male"	70	5120	","	GHOST/POISON	010203    060708091011  13  15  1718192021      25  27  2930  32333435          4142  444546  48  50      H4      
ONIX	Rock Snake Pokémon	It remembers every dream it eats. It rarely eats the dreams of adults because children's are much tastier.	"Medium (max: 1,000,000 EXP)"	"  1, 33,  1,103, 10, 20, 14, 88, 23,106, 27, 99, 36,201, 40, 21"	35	45	160	70	30	45	108	"10,10"	"157, 175"	"50% female, 50% male"	70	6400	","	ROCK/GROUND	  0203  0506  08  1011  13      17    2021  23    262728    3132  3435  37            4445                H4      
DROWZEE	Hypnosis Pokémon	"Always holding a pendulum that it rocks at a steady rhythm, it causes drowsiness in any- one nearby."	"Medium (max: 1,000,000 EXP)"	"  1,  1,  1, 95, 10, 50, 18, 93, 25, 29, 31,139, 36, 96, 40, 94, 43,244, 45,248"	60	48	45	42	43	90	102	"8,8"	"113, 112"	"50% female, 50% male"	70	5120	","	PSYCHIC	010203    0607  091011  13      1718  2021          27  2930  32333435          4142  4445    48  50        H5    
HYPNO	Hypnosis Pokémon	"The pincers break off easily. If it loses a pincer, it somehow becomes incapable of walk- ing sideways."	"Medium (max: 1,000,000 EXP)"	"  1,  1,  1, 95,  1, 50,  1, 93, 10, 50, 18, 93, 25, 29, 33,139, 40, 96, 49, 94, 55,244, 60,248"	85	73	70	67	73	115	165	"8,8"		"50% female, 50% male"	70	5120	","	PSYCHIC	010203    0607  091011  13  15  1718  2021          27  2930  32333435          4142  4445    48  50        H5    
KRABBY	River Crab Pokémon	"Its pincers grow peculiarly large. If it lifts the pincers too fast, it loses its bal- ance and staggers."	"Medium (max: 1,000,000 EXP)"	"  1,145,  5, 43, 12, 11, 16,106, 23, 23, 27, 12, 34,182, 41,152"	30	105	90	50	25	25	115	"9,9"	"91, 114, 133, 175, 21"	"50% female, 50% male"	70	5120	","	WATER	    03    06  08  10    1314  161718  2021          27      3132  3435                444546    49  H1  H3H4  H6  
KINGLER	Pincer Pokémon	It was discovered when POKé BALLS were introduced. It is said that there is some connection.	"Medium (max: 1,000,000 EXP)"	"  1,145,  1, 43,  1, 11,  5, 43, 12, 11, 16,106, 23, 23, 27, 12, 38,182, 49,152"	55	130	115	75	50	50	206	"9,9"		"50% female, 50% male"	70	5120	","	WATER	    03    06  08  10    131415161718  2021          27      3132  3435                444546    49  H1  H3H4  H6  
VOLTORB	Ball Pokémon	It stores an over- flowing amount of electric energy inside its body. Even a small shock makes it explode.	"Medium (max: 1,000,000 EXP)"	"  1, 33,  9,103, 17, 49, 23,120, 29,205, 33,113, 37,129, 39,153, 41,243"	40	30	50	100	55	55	103	"10,10"		Genderless	70	5120	","	ELECTRIC	  020304  0607    10    13      1718  2021      25  27        32  3435      39        44                    H5    
ELECTRODE	Ball Pokémon	"Using telepathy only they can receive, they always form a cluster of six EXEGGCUTE."	"Medium (max: 1,000,000 EXP)"	"  1, 33,  1,103,  1, 49,  1,120,  9,103, 17, 49, 23,120, 29,205, 34,113, 40,129, 44,153, 48,243"	60	50	70	140	80	80	150	"10,10"		Genderless	70	5120	","	ELECTRIC	  020304  0607    10    13  15  1718  2021      25  27        32  3435      39        44                    H5    
EXEGGCUTE	Egg Pokémon	"If a head drops off, it emits a telepathic call in search of others to form an EXEGGCUTE cluster."	"Slow (max: 1,250,000 EXP)"	"  1,140,  1, 95,  7,115, 13, 73, 19, 93, 25, 78, 31, 77, 37, 79, 43, 76"	60	40	80	40	60	45	98	"7,7"	"235, 236, 115, 72, 246"	"50% female, 50% male"	70	5120	","	GRASS/PSYCHIC	    0304  06    091011  13      17  19202122        27  29    32  343536          42  444546      50      H4H5    
EXEGGUTOR	Coconut Pokémon	"It always wears the skull of its dead mother, so no one has any idea what its hidden face looks like."	"Slow (max: 1,250,000 EXP)"	"  1,140,  1, 95,  1, 93, 19, 23, 31,121"	95	95	85	55	125	65	212	"7,7"		"50% female, 50% male"	70	5120	","	GRASS/PSYCHIC	  020304  06    091011  13  15  17  19202122        27  29    32  343536          42  444546      50      H4H5    
CUBONE	Lonely Pokémon	"It collects bones from an unknown place. A MAROWAK graveyard exists somewhere in the world, rumors say."	"Medium (max: 1,000,000 EXP)"	"  1, 45,  5, 39,  9,125, 13, 29, 17, 43, 21,116, 25,155, 29, 99, 33,206, 37, 37, 41,198"	50	50	95	35	40	50	87	"1,1"	"157, 246, 187, 103, 130, 195"	"50% female, 50% male"	70	5120	",MIRACLE SEED"	GROUND	010203    06  08  1011  1314  1617    2021  23    262728    3132  3435  3738    41  43444546  48          H4      
MAROWAK	Bone Keeper Pokémon	"If it starts kick- ing repeatedly, both legs will stretch even long- er to strike a fleeing foe."	"Medium (max: 1,000,000 EXP)"	"  1, 45,  1, 39,  1,125,  1, 29,  5, 39,  9,125, 13, 29, 17, 43, 21,116, 25,155, 32, 99, 39,206, 46, 37, 53,198"	60	80	110	45	50	80	124	"1,1"		"50% female, 50% male"	70	5120	",MIRACLE SEED"	GROUND	010203    06  08  1011  1314151617    2021  23    262728    3132  3435  3738    41  43444546  48          H4      
HITMONLEE	Kicking Pokémon	"Its punches slice the air. They are launched at such high speed, even a slight graze could cause a burn."	"Medium (max: 1,000,000 EXP)"	"  1, 24,  6, 96, 11, 27, 16, 26, 21,116, 26,136, 31,170, 36,193, 41,203, 46, 25, 51,179"	50	120	53	87	35	110	139	"8,8"		Always male	70	6400	","	FIGHTING	010203    06  08  1011  13      17    2021          27      3132  3435      39      43444546              H4      
HITMONCHAN	Punching Pokémon	"Its long tongue, slathered with a gooey saliva, sticks to any- thing, so it is very useful."	"Medium (max: 1,000,000 EXP)"	"  1,  4,  7, 97, 13,228, 26,  9, 26,  8, 26,  7, 32,183, 38,  5, 44,197, 50, 68"	50	105	79	76	35	110	140	"8,8"		Always male	70	6400	","	FIGHTING	010203    06  08  1011  13      17    2021          27      3132333435      39  41  43444546  48          H4      
LICKITUNG	Licking Pokémon	"The poisonous gases it contains are a little bit lighter than air, keeping it slight- ly airborne."	"Medium (max: 1,000,000 EXP)"	"  1,122,  7, 48, 13,111, 19, 23, 25, 35, 31, 50, 37, 21, 43,103"	90	55	75	30	60	75	127	"1,1"	"187, 222, 34"	"50% female, 50% male"	70	5120	","	NORMAL	01020304  06  08091011  131415161718  2021  23  252627    303132333435  3738  404142  444546  48  50H1  H3H4      
KOFFING	Poison Gas Pokémon	Top-grade perfume is made using its internal poison gases by diluting them to the high- est level.	"Medium (max: 1,000,000 EXP)"	"  1,139,  1, 33,  9,123, 17,120, 21,124, 25,108, 33,114, 41,153, 45,194"	40	65	95	35	60	45	114	"11,11"	"103, 149, 60, 194, 220"	"50% female, 50% male"	70	5120	","	POISON	    0304  0607    1011  13      17    2021      25  27        32  343536  38          444546                      
WEEZING	Poison Gas Pokémon	It doesn't care if there is anything in its way. It just charges and destroys all ob- stacles.	"Medium (max: 1,000,000 EXP)"	"  1,139,  1, 33,  1,123,  1,120,  9,123, 17,120, 21,124, 25,108, 33,114, 44,153, 51,194"	65	90	120	60	85	70	173	"11,11"		"50% female, 50% male"	70	5120	","	POISON	    0304  0607    1011  13  15  17    2021      25  27        32  343536  38          444546                      
RHYHORN	Spikes Pokémon	Its brain devel- oped when it began walking on hind legs. Its thick hide protects it even in magma.	"Slow (max: 1,250,000 EXP)"	"  1, 30,  1, 39, 13, 23, 19, 31, 31,184, 37, 32, 49, 36, 55, 89"	80	85	95	25	30	30	135	"1,5"	"242, 179, 157, 37, 228, 68, 222"	"50% female, 50% male"	70	5120	","	GROUND/ROCK	  02030405060708  1011  1314  1617    2021  23  25262728    3132  3435  3738          4445                H4      
RHYDON	Drill Pokémon	"Few in number and difficult to cap- ture, it is said to bring happiness to the trainer who catches it."	"Slow (max: 1,250,000 EXP)"	"  1, 30,  1, 39,  1, 23,  1, 31, 13, 23, 19, 31, 31,184, 37, 32, 54, 36, 65, 89"	105	130	120	40	45	45	204	"1,5"		"50% female, 50% male"	70	5120	","	GROUND/ROCK	0102030405060708  1011  1314151617    2021  23  25262728    3132  3435  3738    41    4445    4849      H3H4      
CHANSEY	Egg Pokémon	It tangles any moving thing with its vines. Their subtle shaking is ticklish if you get ensnared.	"Fast (max: 800,000 EXP)"	"  1,  1,  5, 45,  9, 39, 13,135, 17,  3, 23,107, 29, 47, 35,121, 41,111, 49,113, 57, 38"	250	5	5	50	35	105	255	"6,6"	"217, 118, 215"	Always female	140	10240	",HARD STONE"	NORMAL	01020304  060708091011  131415161718  20212223  25  27  29303132  3435  3738  40  42  4445                H4H5    
TANGELA	Vine Pokémon	"To protect its young, it will never give up during battle, no matter how badly wounded it is."	"Medium (max: 1,000,000 EXP)"	"  1,132,  4, 79, 10, 71, 13, 77, 19, 22, 25, 20, 31, 72, 34, 78, 40, 21, 46, 74"	65	55	115	60	100	40	166	"7,7"	"175, 93, 72, 115, 133"	"50% female, 50% male"	70	5120	","	GRASS	  0203    06    0910111213  15  17  19202122        27        32  343536              444546        H1      H5    
KANGASKHAN	Parent Pokémon	"Its big, developed fins move rapidly, allowing it to swim backward while still facing forward."	"Medium (max: 1,000,000 EXP)"	"  1,  4,  7, 43, 13, 44, 19, 39, 25,  5, 31, 99, 37,203, 43,146, 49,179"	105	95	80	90	40	80	175	"1,1"	"23, 193, 116, 219, 50"	Always female	70	5120	","	NORMAL	010203  05060708  1011  131415161718  2021  23  252627    303132333435  3738    41    4445    4849      H3H4      
HORSEA	Dragon Pokémon	Its fin-tips leak poison. Its fins and bones are highly valued as ingredients in herbal medicine.	"Medium (max: 1,000,000 EXP)"	"  1,145,  8,108, 15, 43, 22, 55, 29,239, 36, 97, 43, 56"	30	40	70	60	70	25	83	"2,14"	"175, 62, 190, 50, 150, 82"	"50% female, 50% male"	70	5120	",MYSTERYBERRY"	WATER	  0203    06      10    1314  161718  2021    24    27        32  3435      39        4445              H3    H6H7
SEADRA	Dragon Pokémon	"A strong swimmer, it is capable of swimming nonstop up fast streams at a steady speed of five knots."	"Medium (max: 1,000,000 EXP)"	"  1,145,  1,108,  1, 43,  1, 55,  8,108, 15, 43, 22, 55, 29,239, 40, 97, 51, 56"	55	65	95	85	95	45	155	"2,14"		"50% female, 50% male"	70	5120	",MYSTERYBERRY"	WATER	  0203    06      10    131415161718  2021    24    27        32  3435      39        4445              H3    H6H7
GOLDEEN	Goldfish Pokémon	"Using its horn, it bores holes in riverbed boulders, making nests to prevent its eggs from washing away."	"Medium (max: 1,000,000 EXP)"	"  1, 64,  1, 39, 10, 48, 15, 30, 24,175, 29, 31, 38,127, 43, 32, 52, 97"	45	67	60	63	35	50	111	"12,12"	"60, 114, 56"	"50% female, 50% male"	70	5120	","	WATER	    03    06      10    1314  161718  2021          27        32  3435      39        4445              H3      H7
SEAKING	Goldfish Pokémon	"Even if its body is torn, it can regenerate as long as the glowing central core re- mains intact."	"Medium (max: 1,000,000 EXP)"	"  1, 64,  1, 39,  1, 39, 10, 48, 15, 30, 24,175, 29, 31, 41,127, 49, 32, 61, 97"	80	92	65	68	65	80	170	"12,12"		"50% female, 50% male"	70	5120	","	WATER	    03    06      10    131415161718  2021          27        32  3435      39        4445              H3      H7
STARYU	Star Shape Pokémon	"Regardless of the environment it lives in, its body grows to form a symmetrical geo- metric shape."	"Slow (max: 1,250,000 EXP)"	"  1, 33,  1,106,  7, 55, 13,229, 19,105, 25,129, 31, 61, 37,107, 43,113, 50, 56"	30	45	55	85	70	55	106	"9,9"	"62, 112, 48"	Genderless	70	5120	"LOST ITEM,STARDUST"	WATER	    03    0607  0910    1314  161718  2021      25  27  29    32  3435      39        4445              H3  H5H6H7
STARMIE	Mysterious Pokémon	Its fingertips emit a peculiar force field that hardens air to create an actual wall.	"Slow (max: 1,250,000 EXP)"	"  1, 33,  1,229,  1,105,  1, 61, 37,109"	60	75	85	115	100	85	207	"9,9"		Genderless	70	5120	"LOST ITEM,STARDUST"	WATER/PSYCHIC	    03    0607  0910    131415161718  2021      25  27  29    32  3435      39    42  4445        50    H3  H5H6H7
MR. MIME	Barrier Pokémon	"When it moves, it leaves only a blur. If it hides in grass, its pro- tective colors make it invisible."	"Medium (max: 1,000,000 EXP)"	"  1,112,  6, 93, 11,164, 16, 96, 21,  3, 26,113, 26,115, 31,227, 36, 60, 41,226, 46,219"	40	45	65	90	100	120	136	"8,8"	"248, 95, 102"	"50% female, 50% male"	70	6400	",TERU-SAMA"	PSYCHIC	010203    0607  091011  13  15  17    202122    25  27  29303132333435          4142  444546  48  50        H5    
SCYTHER	Mantis Pokémon	"It speaks a lan- guage similar to that of humans. However, it seems to use dancing to communicate."	"Medium (max: 1,000,000 EXP)"	"  1, 98,  1, 43,  6,116, 12,228, 18,206, 24, 97, 30, 17, 36,163, 42, 14, 48,104"	70	110	80	105	55	80	187	"3,3"	"68, 219, 226, 13, 179, 113"	"50% female, 50% male"	70	6400	","	BUG/FLYING	  0203    06  08  1011  13  15  17    2021          27        32  3435      39      4344454647  49  H1            
JYNX	Human Shape Pokémon	Its body constant- ly discharges electricity. Get- ting close to it will make your hair stand on end.	"Medium (max: 1,000,000 EXP)"	"  1,  1,  1,122,  1,142,  1,181,  9,142, 13,181, 21,  3, 25,  8, 35,212, 41, 34, 51,195, 57, 59"	65	50	35	95	115	95	137	"8,8"		Always female	70	6400	"BURNT BERRY,BURNT BERRY"	ICE/PSYCHIC	010203    06    0910  12131415161718  2021          27  29303132333435            42  444546      50              
ELECTABUZZ	Electric Pokémon	"The fiery surface of its body gives off a wavering, rippling glare that is similar to the sun."	"Medium (max: 1,000,000 EXP)"	"  1, 98,  1, 43,  1,  9,  9,  9, 17,113, 25,129, 36,103, 47, 85, 58, 87"	65	83	57	105	95	85	156	"8,8"		"25% female, 75% male"	70	6400	","	ELECTRIC	010203    060708  10    13  15  1718  2021  23  25  27  29  3132333435      39  41  43444546  48          H4H5    
MAGMAR	Spitfire Pokémon	"Swings its long antlers wildly to attack. During cold periods, it hides deep in forests."	"Medium (max: 1,000,000 EXP)"	"  1, 52,  1, 43,  1,123,  1,  7,  7, 43, 13,123, 19,  7, 25,108, 33,241, 41, 53, 49,109, 57,126"	65	95	57	93	100	85	167	"8,8"		"25% female, 75% male"	70	6400	"PRZCUREBERRY,PRZCUREBERRY"	FIRE	010203    06  08  1011  13  15  17    2021  23      27  29  3132  3435    38    41  43444546  48          H4      
