no	name	kind	entries	growth rate	rareness	attacks learned	hp	atkk	def	speed	spattk	spdef	base exp	breeding compa	egg moves	gender	happiness	steps to hatch	wild items	effort points	abilities	types	tmshms
97	HYPNO	Hypnosis Pokémon	It lives in burrows dug on sandy beaches. Its pincers fully grow back if they are broken in battle.	"Medium (max: 1,000,000 EXP)"	75	"  1,171,  1,415,  1,  1,  1, 95,  1, 50,  1, 93,  7, 50,  9, 93, 15, 29, 18,139, 21, 96, 28, 60, 33,244, 38, 29, 45,207, 50, 94, 55,417, 64,428, 69,248"	85	73	70	67	73	115	165	"8,8"		"50% female, 50% male"	70	5120	","	"0,0,0,0,0,2"	"Insomnia, Forewarn"	PSYCHIC	01    04  06      101112    15161718  2021          27  2930313233              414243444546  4849    52      56  58  60            6768  70    73      7778      8283  858687    90  92                
98	KRABBY	River Crab Pokémon	"The larger pincer has 10,000- horsepower strength. However, it is so heavy, it is difficult to aim."	"Medium (max: 1,000,000 EXP)"	225	"  1,300,  1,145,  5, 11,  9, 43, 11,106, 15, 61, 19,341, 21,232, 25, 23, 29,182, 31, 12, 35, 21, 39,362, 41,152, 45,175"	30	105	90	50	25	25	115	"9,9"	"91, 114, 133, 175, 21, 282, 14, 321, 246"	"50% female, 50% male"	70	5120	","	"0,1,0,0,0,0"	"Hyper Cutter, Shell Armor"	WATER	    03    0607    10    1314    1718    21          2728    3132            39    4243444546              545556  58                                75    78  80818283      87    90    H1  H3H4  H6    
99	KINGLER	Pincer Pokémon	It looks just like a Poké Ball. It is dangerous because it may electrocute or explode on touch.	"Medium (max: 1,000,000 EXP)"	60	"  1,300,  1,145,  1, 11,  5, 11,  9, 43, 11,106, 15, 61, 19,341, 21,232, 25, 23, 32,182, 37, 12, 44, 21, 51,362, 56,152, 63,175"	55	130	115	75	50	50	206	"9,9"		"50% female, 50% male"	70	5120	","	"0,2,0,0,0,0"	"Hyper Cutter, Shell Armor"	WATER	    03    0607    10    131415  1718    21          2728    3132            39    4243444546              545556  58                  68            75    78  80818283      87    90    H1  H3H4  H6    
100	VOLTORB	Ball Pokémon	It is known to drift on winds if it is bloated to bursting with stored electricity.	"Medium (max: 1,000,000 EXP)"	190	"  1,268,  5, 33,  8, 49, 12,209, 15,205, 19,103, 22,113, 26,451, 29,120, 33,129, 36,393, 40,360, 43,153, 47,243"	40	30	50	100	55	55	103	"10,10"		Genderless	70	5120	","	"0,0,0,1,0,0"	"Soundproof, Static"	ELECTRIC	          06      10  12      161718    21    2425  27        32  34            41424344  46                    5758          64          70    7374              8283      87    90                    
101	ELECTRODE	Ball Pokémon	Its six eggs converse using telepathy. They can quickly gather if they become separated.	"Medium (max: 1,000,000 EXP)"	60	"  1,268,  1, 33,  1, 49,  1,209,  5, 33,  8, 49, 12,209, 15,205, 19,103, 22,113, 26,451, 29,120, 35,129, 40,393, 46,360, 51,153, 57,243"	60	50	70	140	80	80	150	"10,10"		Genderless	70	5120	","	"0,0,0,2,0,0"	"Soundproof, Static"	ELECTRIC	          06      10  12    15161718    21    2425  27        32  34            41424344  46                    5758          64      68  70    7374              8283      87    90                    
102	EXEGGCUTE	Egg Pokémon	"It is called “The Walking Jungle.” If a head grows too big, it falls off and becomes an EXEGGCUTE."	"Slow (max: 1,250,000 EXP)"	90	"  1,140,  1,253,  1, 95,  7,115, 11, 73, 17,331, 19, 78, 21, 77, 23, 79, 27, 93, 33,388, 37,363, 43, 76, 47, 94"	60	40	80	40	60	45	98	"7,7"	"235, 236, 115, 246, 244, 275, 174, 267, 381, 437"	"50% female, 50% male"	70	5120	","	"0,0,1,0,0,0"	Chlorophyll	GRASS/PSYCHIC	          06    091011        1617  19  2122        27  29    3233    36          4243444546  48        53        58          64          70        75  7778      8283  858687    90  92      H4        
103	EXEGGUTOR	Coconut Pokémon	"When it thinks of its dead mother, it cries. Its crying makes the skull it wears rattle hollowly."	"Slow (max: 1,250,000 EXP)"	45	"  1,402,  1,140,  1, 95,  1, 93,  1, 23, 17, 23, 27,121, 37,452, 47,437"	95	95	85	55	125	65	212	"7,7"		"50% female, 50% male"	70	5120	","	"0,0,0,0,2,0"	Chlorophyll	GRASS/PSYCHIC	          06    091011      151617  19  2122        27  29    3233    36          4243444546  48        53        58          64      68  70        75  7778      8283  858687    90  92      H4        
104	CUBONE	Lonely Pokémon	"From its birth, this savage Pokémon constantly holds bones. It is skilled in using them as weapons."	"Medium (max: 1,000,000 EXP)"	190	"  1, 45,  3, 39,  7,125, 11, 29, 13, 43, 17,116, 21,155, 23, 99, 27,206, 31, 37, 33,374, 37,198, 41,283, 43, 38"	50	50	95	35	40	50	87	"1,1"	"157, 246, 187, 103, 130, 195, 14, 24, 442"	"50% female, 50% male"	70	5120	","	"0,0,1,0,0,0"	"Rock Head, Lightningrod"	GROUND	01        06      1011  1314    17      21  23    262728    3132    35  37383940  4243444546              54  56  58                                7576  78  80  8283      87    90          H4  H6  H8
105	MAROWAK	Bone Keeper Pokémon	Its legs can stretch double. First-time foes are startled by its extensible reach.	"Medium (max: 1,000,000 EXP)"	75	"  1, 45,  1, 39,  1,125,  1, 29,  3, 39,  7,125, 11, 29, 13, 43, 17,116, 21,155, 23, 99, 27,206, 33, 37, 37,374, 43,198, 49,283, 53, 38"	60	80	110	45	50	80	124	"1,1"		"50% female, 50% male"	70	5120	","	"0,0,2,0,0,0"	"Rock Head, Lightningrod"	GROUND	01        06      1011  131415  17      21  23    262728    3132    35  37383940  4243444546          52  54  56  58                  68    71      7576  78  80  8283      87    90          H4  H6  H8
106	HITMONLEE	Kicking Pokémon	The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting.	"Medium (max: 1,000,000 EXP)"	45	"  1,279,  1, 24,  5, 96,  9, 27, 13, 26, 17,280, 21,116, 25,364, 29,136, 33,170, 37,193, 41,299, 45,203, 49, 25, 53,370, 57,179"	50	120	53	87	35	110	139	"8,8"		Always male	70	6400	","	"0,2,0,0,0,0"	"Limber, Reckless"	FIGHTING	01        06  08  1011          1718    21        2627      3132            39    4243444546          52      56  58                        71            78  80  828384    87    90          H4  H6  H8
107	HITMONCHAN	Punching Pokémon	"Instead of hands, it uses its tongue, which is twice its height. Its sticky saliva grips anything."	"Medium (max: 1,000,000 EXP)"	45	"  1,279,  1,  4,  6, 97, 11,228, 16,183, 16,418, 21,364, 26,410, 31,  9, 31,  8, 31,  7, 36,327, 41,  5, 46,197, 51, 68, 56,370"	50	105	79	76	35	110	140	"8,8"		Always male	70	6400	","	"0,0,0,0,0,2"	"Keen Eye, Iron Fist"	FIGHTING	01        06  08  1011          1718    21        2627      3132            39    4243444546          52      56  58  60                    71            78  80  8283      87    90          H4  H6  H8
108	LICKITUNG	Licking Pokémon	"Lighter-than-air gases in its body keep it aloft. The gases not only smell, they are also explosive."	"Medium (max: 1,000,000 EXP)"	45	"  1,122,  5, 48,  9,111, 13,282, 17, 35, 21, 23, 25, 50, 29, 21, 33,205, 37,382, 41,287, 45,103, 49,438, 53,378"	90	55	75	30	60	75	127	"1,1"	"187, 222, 34, 174, 265, 214, 173, 164, 133, 359"	"50% female, 50% male"	70	5120	","	"2,0,0,0,0,0"	"Own Tempo, Oblivious"	NORMAL	01  03    06      1011  131415  1718    2122232425262728  303132  3435  373839    4243444546                  56  58                  68            75  7778  80  8283  85  87    90    H1  H3H4  H6  H8
109	KOFFING	Poison Gas Pokémon	"It grows by feeding on gases released by garbage. Though very rare, triplets have been found."	"Medium (max: 1,000,000 EXP)"	190	"  1,139,  1, 33,  6,123, 10,108, 15,372, 19,120, 24,124, 28,114, 33,360, 37,153, 42,188, 46,194, 51,262"	40	65	95	35	60	45	114	"11,11"	"103, 149, 60, 194, 220, 261, 288, 180, 174"	"50% female, 50% male"	70	5120	","	"0,0,1,0,0,0"	Levitate	POISON	          06      101112        1718    21    2425  27    30  32  343536  38    414243444546                      58    61    64  66      70      74      7879    8283      87    90                    
110	WEEZING	Poison Gas Pokémon	"Its body is clad in a thick hide, and its tackles topple buildings. Unfortunately, it is not smart."	"Medium (max: 1,000,000 EXP)"	60	"  1,139,  1, 33,  1,123,  1,108,  6,123, 10,108, 15,372, 19,120, 24,124, 28,114, 33,458, 40,153, 48,188, 55,194, 63,262"	65	90	120	60	85	70	173	"11,11"		"50% female, 50% male"	70	5120	","	"0,0,2,0,0,0"	Levitate	POISON	          06      101112    15  1718    21    2425  27    30  32  343536  38    414243444546                      58    61    64  66  68  70      74      7879    8283      87    90                    
111	RHYHORN	Spikes Pokémon	Its brain developed after it stood up on its hind legs. Its drill horn bores tunnels through solid rock.	"Slow (max: 1,250,000 EXP)"	120	"  1, 30,  1, 39,  9, 23, 13, 31, 21,184, 25,350, 33, 36, 37, 32, 45,444, 49, 89, 57,224"	80	85	95	25	30	30	135	"1,5"	"242, 179, 157, 68, 222, 14, 174, 306, 407, 423, 424, 422"	"50% female, 50% male"	70	5120	","	"0,0,1,0,0,0"	"Lightningrod, Rock Head"	GROUND/ROCK	        0506      1011  1314    1718    21  232425262728      32  3435  373839    4243444546                      5859            66    69  71      7576  78  80  828384    87    90          H4  H6  H8
112	RHYDON	Drill Pokémon	"It is said to deliver happiness. Being compassionate, it shares its eggs with injured people."	"Slow (max: 1,250,000 EXP)"	60	"  1, 30,  1, 39,  1, 23,  1, 31,  9, 23, 13, 31, 21,184, 25,350, 33, 36, 37, 32, 42,359, 45,444, 49, 89, 57,224"	105	130	120	40	45	45	204	"1,5"		"50% female, 50% male"	70	5120	","	"0,2,0,0,0,0"	"Lightningrod, Rock Head"	GROUND/ROCK	01      0506      1011  131415  1718    21  232425262728    3132  3435  373839    4243444546          52      56  5859          6566  6869  7172    7576  78  80  828384    87    90    H1  H3H4  H6  H8
113	CHANSEY	Egg Pokémon	It is shrouded by blue vines. No one has seen the face hidden behind this growth of vines.	"Fast (max: 800,000 EXP)"	30	"  1,  1,  1, 45,  5, 39,  9,287, 12,135, 16,  3, 20,107, 23, 47, 27,374, 31,111, 34,113, 38,121, 42,361, 46, 38"	250	5	5	50	35	105	255	"6,6"	"217, 118, 215, 312, 164, 68, 270, 356"	Always female	140	10240	"MIRACLEBERRY,"	"2,0,0,0,0,0"	"Natural Cure, Serene Grace"	NORMAL	01  0304  0607    1011  131415161718  2021222324252627  29303132  3435  373839    42434445    4849            565758  60            6768  70    73    767778  80  8283  858687    90          H4  H6  H8
114	TANGELA	Vine Pokémon	It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.	"Medium (max: 1,000,000 EXP)"	45	"  1,275,  1,132,  5, 79,  8, 71, 12, 74, 15, 77, 19, 22, 22, 20, 26, 72, 29, 78, 33,246, 36,282, 40,363, 43, 21, 47,321, 50,378, 54,438"	65	55	115	60	100	40	166	"7,7"	"175, 93, 72, 115, 133, 73, 267, 283, 437"	"50% female, 50% male"	70	5120	","	"0,0,1,0,0,0"	"Chlorophyll, Leaf Guard"	GRASS	          06    091011      15  17  19  2122        27        323334  36          4243444546            53        58                  68  70        75  7778      8283    8687    90    H1        H6    
115	KANGASKHAN	Parent Pokémon	"It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees."	"Medium (max: 1,000,000 EXP)"	45	"  1,  4,  1, 43,  7,252, 10, 39, 13, 44, 19,  5, 22, 99, 25,146, 31,242, 34,203, 37,200, 43,458, 46,389, 49,179"	105	95	80	90	40	80	175	"1,1"	"23, 193, 116, 219, 50, 68, 306, 164, 38, 283, 359"	Always female	70	5120	","	"2,0,0,0,0,0"	"Early Bird, Scrappy"	NORMAL	01  03  050607    1011  131415  1718    2122232425262728  303132  3435  37383940  4243444546          52      56  58  60        65    68      72          78  80  8283      87    90    H1  H3H4  H6  H8
116	HORSEA	Dragon Pokémon	Its spines provide protection. Its fins and bones are prized as traditional medicine ingredients.	"Medium (max: 1,000,000 EXP)"	225	"  1,145,  4,108,  8, 43, 11, 55, 14,116, 18, 61, 23, 97, 26,239, 30,362, 35, 56, 38,349, 42,406"	30	40	70	60	70	25	83	"2,14"	"175, 62, 190, 50, 150, 82, 225, 324"	"50% female, 50% male"	70	5120	","	"0,0,0,0,1,0"	"Swift Swim, Sniper"	WATER	    03    0607    10    1314    1718    21          27        32                  42434445                  55    5859                                    78      8283      87    9091      H3      H7  
117	SEADRA	Dragon Pokémon	It swims elegantly by flittering its tail fin as if it were a dress. It has the look of a queen.	"Medium (max: 1,000,000 EXP)"	75	"  1,145,  1,108,  1, 43,  1, 55,  4,108,  8, 43, 11, 55, 14,116, 18, 61, 23, 97, 26,239, 30,362, 40, 56, 48,349, 57,406"	55	65	95	85	95	45	155	"2,14"		"50% female, 50% male"	70	5120	","	"0,0,1,0,1,0"	"Poison Point, Sniper"	WATER	    03    0607    10    131415  1718    21          27        32                  42434445                  55    5859                68                  78      8283      87    9091      H3      H7  
118	GOLDEEN	Goldfish Pokémon	It makes its nest by hollowing out boulders in streams with its horn. It defends its eggs with its life.	"Medium (max: 1,000,000 EXP)"	225	"  1, 64,  1, 39,  1,346,  7, 48, 11, 30, 17,352, 21,175, 27,392, 31, 31, 37,127, 41, 32, 47, 97, 51,224"	45	67	60	63	35	50	111	"12,12"	"60, 114, 56, 214, 300, 189, 401"	"50% female, 50% male"	70	5120	","	"0,1,0,0,0,0"	"Swift Swim, Water Veil"	WATER	    03    0607    10    1314    1718    21          27        32                  42434445                        58                                      78      828384    87    90        H3      H7  
119	SEAKING	Goldfish Pokémon	"If its body is torn, it can grow back if the red core remains. The core flashes at midnight."	"Medium (max: 1,000,000 EXP)"	60	"  1,398,  1, 64,  1, 39,  1,346,  1, 48,  7, 48, 11, 30, 17,352, 21,175, 27,392, 31, 31, 40,127, 47, 32, 56, 97, 63,224"	80	92	65	68	65	80	170	"12,12"		"50% female, 50% male"	70	5120	","	"0,2,0,0,0,0"	"Swift Swim, Water Veil"	WATER	    03    0607    10    131415  1718    21          27        32                  42434445                        58                  68                  78      828384    87    90        H3      H7  
120	STARYU	Star Shape Pokémon	"At the center of its body is a red core, which sends mysterious radio signals into the night sky."	"Slow (max: 1,250,000 EXP)"	225	"  1, 33,  1,106,  6, 55, 10,229, 15,105, 19,293, 24,129, 28, 61, 33,107, 37,360, 42,113, 46,408, 51,322, 55, 56"	30	45	55	85	70	55	106	"9,9"		Genderless	70	5120	"BLU APRICORN,"	"0,0,0,1,0,0"	"Illuminate, Natural Cure"	WATER	    03    0607    10    1314  161718    21    2425  27  29    3233                424344                    55    58                67    70    7374    77        8283      87    9091      H3      H7  
121	STARMIE	Mysterious Pokémon	It is a pantomime expert that can create invisible but solid walls using miming gestures.	"Slow (max: 1,250,000 EXP)"	60	"  1, 55,  1,229,  1,105,  1,129, 28,109"	60	75	85	115	100	85	207	"9,9"		Genderless	70	5120	"BLU APRICORN,"	"0,0,0,2,0,0"	"Illuminate, Natural Cure"	WATER/PSYCHIC	    03    0607    10    131415161718    21    2425  27  29    3233                424344      48            55    58                6768  70  727374    77        8283  858687    909192    H3      H7  
122	MR. MIME	Barrier Pokémon	It is nearly impossible to parry its attacking scythes. Its movements are like a ninja’s.	"Medium (max: 1,000,000 EXP)"	45	"  1,345,  1,384,  1,385,  1,112,  1, 93,  4,383,  8, 96, 11,227, 15,  3, 18,102, 22,113, 22,115, 25, 60, 29,164, 32,278, 36,271, 39, 94, 43,272, 46,226, 50,219"	40	45	65	90	100	120	136	"8,8"	"248, 95, 102, 244, 252, 271, 109, 358, 298"	"50% female, 50% male"	70	6400	","	"0,0,0,0,0,2"	"Soundproof, Filter"	PSYCHIC	01    04  06      101112    15161718  202122  2425  27  293031323334          40414243444546  4849    5253    565758  60          666768  70    73      7778      8283  858687    90  92                
123	SCYTHER	Mantis Pokémon	"Its cries sound like human speech. However, it is impossible to tell what it is trying to say."	"Medium (max: 1,000,000 EXP)"	45	"  1, 98,  1, 43,  5,116,  9,228, 13,206, 17, 97, 21, 17, 25,210, 29,163, 33, 13, 37,104, 41,404, 45,400, 49,458, 53,403, 57, 14"	70	110	80	105	55	80	187	"3,3"	"68, 219, 226, 13, 179, 113, 203, 318, 405, 400"	"50% female, 50% male"	70	6400	","	"0,1,0,0,0,0"	"Swarm, Technician"	BUG/FLYING	          06      1011      15  1718    21          27      3132              40  424344454647      51    54      58      62          68            75    78    818283      87  8990    H1      H5H6    
124	JYNX	Human Shape Pokémon	Half of all blackouts occur when this Pokémon appears at power plants and eats electricity.	"Medium (max: 1,000,000 EXP)"	45	"  1,  1,  1,122,  1,142,  1,181,  5,122,  8,142, 11,181, 15,  3, 18,  8, 21,212, 25,313, 28,358, 33,419, 39, 34, 44,378, 49,195, 55, 59"	65	50	35	95	115	95	137	"8,8"		Always female	70	6400	"BERSERK GENE,"	"0,0,0,0,2,0"	"Oblivious, Forewarn"	ICE/PSYCHIC	01  0304  0607    10  12131415161718    21          27  2930313233              414243444546  48      5253    56  58  60          666768  70  72        7778      8283  858687    90  92                
125	ELECTABUZZ	Electric Pokémon	"Born in the spout of a volcano, its body is covered by flames that shimmer like the sun."	"Medium (max: 1,000,000 EXP)"	45	"  1, 98,  1, 43,  1, 84,  7, 84, 10, 67, 16,129, 19,351, 25,113, 28,  9, 37,435, 43, 85, 52,103, 58, 87"	65	83	57	105	95	85	156	"8,8"		"25% female, 75% male"	70	6400	"ELIXER,"	"0,0,0,2,0,0"	Static	ELECTRIC	01        06      10        15161718    21  232425  27  29  3132  34              4243444546          52      565758                  68  70    73        78      8283      87    90          H4  H6  H8
126	MAGMAR	Spitfire Pokémon	"It grips prey with its pincers until the prey is torn in half. What it can’t tear, it tosses far."	"Medium (max: 1,000,000 EXP)"	45	"  1,123,  1, 43,  1, 52,  7, 52, 10,108, 16,185, 19, 83, 25,109, 28,  7, 36,436, 41, 53, 49,241, 54,126"	65	95	57	93	100	85	167	"8,8"		"25% female, 75% male"	70	6400	","	"0,0,0,0,2,0"	Flame Body	FIRE	01        06      1011      15  17      21  23      27  29  3132    35    38      4243444546      50  52      56  58    61            68                  78      8283      87    90          H4  H6  H8
127	PINSIR	Stag Beetle Pokémon	"Once it takes aim at its foe, it makes a headlong charge. It is famous for its violent nature."	"Slow (max: 1,250,000 EXP)"	45	"  1, 11,  1,116,  4, 20,  8, 69, 13,106, 18,279, 21,280, 25,233, 30,404, 35, 37, 38, 14, 42, 66, 47, 12, 52,276"	65	125	100	85	55	70	200	"3,3"	"31, 175, 206, 185, 98, 370, 364"	"50% female, 50% male"	70	6400	","	"0,2,0,0,0,0"	"Hyper Cutter, Mold Breaker"	BUG	01        06  08  1011      15  1718    21        262728    3132            39    4243444546          52  54  56  58                  68    71      7576  78  80818283      87    90    H1    H4  H6  H8
128	TAUROS	Wild Bull Pokémon	It is said to be the world’s weakest Pokémon. No one knows why it has managed to survive.	"Slow (max: 1,250,000 EXP)"	45	"  1, 33,  3, 39,  5, 99,  8, 30, 11,184, 15,228, 19,156, 24,371, 29,428, 35, 36, 41,207, 48, 37, 55,416"	75	100	95	110	40	70	211	"5,5"		Always male	70	5120	","	"0,1,0,1,0,0"	"Intimidate, Anger Point"	NORMAL	    03    06      1011  131415  1718    21222324252627        32  3435  373839    42434445                        58              66  68    71            78  80  8283      87    90        H3H4  H6  H8
129	MAGIKARP	Fish Pokémon	"Once it appears, its rage never settles until it has razed the fields and mountains around it."	"Slow (max: 1,250,000 EXP)"	255	"  1,150, 15, 33, 30,175"	20	10	55	80	15	20	20	"12,14"		"50% female, 50% male"	70	1280	","	"0,0,0,1,0,0"	Swift Swim	WATER	                                                                                                                                                                                                        
130	GYARADOS	Atrocious Pokémon	It loves crossing the sea with people and Pokémon on its back. It understands human speech.	"Slow (max: 1,250,000 EXP)"	45	"  1, 37, 20, 44, 23, 82, 26, 43, 29,239, 32,423, 35,401, 38,240, 41, 56, 44,349, 47, 63"	95	125	79	81	60	100	214	"12,14"		"50% female, 50% male"	70	1280	","	"0,2,0,0,0,0"	Intimidate	WATER/FLYING	    03  050607    10  12131415  1718    21    24252627        32    35  3738    4142434445                  55    5859            66  68    717273        7879    8283      87    90        H3H4  H6H7  
131	LAPRAS	Transport Pokémon	It has the ability to reconstitute its entire cellular structure to transform into whatever it sees.	"Slow (max: 1,250,000 EXP)"	45	"  1, 47,  1, 45,  1, 55,  4, 54,  7,109, 10,420, 14,352, 18, 34, 22,240, 27,195, 32, 58, 37,362, 43,219, 49, 56, 55,329"	130	85	80	60	85	95	219	"1,2"	"193, 164, 321, 287, 349, 174, 214, 32, 246, 250, 90"	"50% female, 50% male"	70	10240	","	"2,0,0,0,0,0"	"Water Absorb, Shell Armor"	WATER/ICE	    03  050607    10    131415  1718  2021  232425  27  29    32  34              42434445                  55    5859                68      72          78      8283  85  87    90        H3H4  H6H7  
132	DITTO	Transform Pokémon	A rare Pokémon that adapts to harsh environments by taking on different evolutionary forms.	"Medium (max: 1,000,000 EXP)"	35	"1,144"	48	48	48	48	48	48	61	"13,13"		Genderless	70	5120	"SUPER POTION,"	"1,0,0,0,0,0"	Limber	NORMAL	                                                                                                                                                                                                        
133	EEVEE	Evolution Pokémon	It has evolved to be suitable for an aquatic life. It can invisibly melt away into water.	"Medium (max: 1,000,000 EXP)"	45	"  1, 33,  1, 39,  1,270,  8, 28, 15, 45, 22, 98, 29, 44, 36,226, 43, 36, 50,387, 57,376"	55	55	50	55	45	65	92	"5,5"	"204, 175, 203, 174, 321, 273, 281, 313, 343"	"12.5% female, 87.5% male"	70	8960	","	"0,0,0,0,0,1"	"Run Away, Adaptability"	NORMAL	          06      1011          1718    21  23      2728  30  32                  42434445                        58                                      78      8283      87    90                    
134	VAPOREON	Bubble Jet Pokémon	"It controls 10,000-volt power and can raise all the fur on its body as if it were sharp needles."	"Medium (max: 1,000,000 EXP)"	45	"  1, 33,  1, 39,  1,270,  8, 28, 15, 55, 22, 98, 29, 44, 36, 62, 43,392, 50,387, 57,114, 64,151, 71, 56"	130	65	60	65	110	95	196	"5,5"		"12.5% female, 87.5% male"	70	8960	","	"2,0,0,0,0,0"	"Water Absorb, Water Absorb"	WATER	    03  050607    1011  131415  1718    21  23      2728  30  32                  42434445                  55    58                  68                  78      8283      87    90        H3H4  H6H7  
135	JOLTEON	Lightning Pokémon	"It has a flame sac in its body. Its body temperature tops 1,650 degrees Fahrenheit before battle."	"Medium (max: 1,000,000 EXP)"	45	"  1, 33,  1, 39,  1,270,  8, 28, 15, 84, 22, 98, 29, 24, 36, 42, 43,422, 50,387, 57, 86, 64, 97, 71, 87"	65	65	60	130	110	95	197	"5,5"		"12.5% female, 87.5% male"	70	8960	","	"0,0,0,2,0,0"	"Volt Absorb, Volt Absorb"	ELECTRIC	        0506      1011      15161718    21  232425  2728  30  32  34              42434445                      5758                  68  70    73        78      8283      87    90          H4  H6    
136	FLAREON	Flame Pokémon	The world’s first artificially created Pokémon. It can travel through electronic space.	"Medium (max: 1,000,000 EXP)"	45	"  1, 33,  1, 39,  1,270,  8, 28, 15, 52, 22, 98, 29, 44, 36, 83, 43,424, 50,387, 57,123, 64,184, 71,126"	65	130	60	65	95	110	198	"5,5"		"12.5% female, 87.5% male"	70	8960	","	"0,2,0,0,0,0"	"Flash Fire, Flash Fire"	FIRE	        0506      1011      15  1718    21  23      2728  30  32    35    38      42434445        50              58    61            68                  78      8283      87    90          H4  H6    
137	PORYGON	Virtual Pokémon	A Pokémon that was resurrected from a fossil using modern science. It swam in ancient seas.	"Medium (max: 1,000,000 EXP)"	45	"  1,176,  1, 33,  1,160,  1,159,  7, 60, 12, 97, 18,105, 23,393, 29,324, 34,278, 40,435, 45,199, 51,161, 56,277, 62,192"	65	60	70	40	85	75	130	"10,10"		Genderless	70	5120	","	"0,0,0,0,1,0"	"Trace, Download"	NORMAL	          06      1011  131415  1718    2122232425  27  2930  32  34          40  424344  46                    5758                6768  70    73      77        8283  85  87    90  92                
138	OMANYTE	Spiral Pokémon	It is thought that this Pokémon became extinct because its spiral shell grew too large.	"Medium (max: 1,000,000 EXP)"	45	"  1,132,  1,110,  7, 44, 10, 55, 16,205, 19, 43, 25,341, 28,362, 34,182, 37,246, 43,321, 46,350, 52, 56"	35	40	100	35	90	55	99	"2,9"	"61, 62, 21, 48, 114, 157, 191, 282, 378, 390"	"12.5% female, 87.5% male"	70	7680	","	"0,0,1,0,0,0"	"Swift Swim, Shell Armor"	ROCK/WATER	    03    0607    10    1314    1718    21          27        32        37  39    4243444546                55    58                    69        74  76  78  80  8283      87    90        H3    H6H7  
139	OMASTAR	Spiral Pokémon	It is thought to have inhabited beaches 300 million years ago. It is protected by a stiff shell.	"Medium (max: 1,000,000 EXP)"	45	"  1,132,  1,110,  1, 44,  7, 44, 10, 55, 16,205, 19, 43, 25,341, 28,362, 34,182, 37,246, 40,131, 48,321, 56,350, 67, 56"	70	60	125	55	115	70	199	"2,9"		"12.5% female, 87.5% male"	70	7680	","	"0,0,2,0,0,0"	"Swift Swim, Shell Armor"	ROCK/WATER	    03    0607    10    131415  1718    21          27        32        37  39    4243444546                55    58                  6869  71    74  76  78  80  8283      87    90        H3    H6H7H8
140	KABUTO	Shellfish Pokémon	It is thought that this Pokémon came onto land because its prey adapted to life on land.	"Medium (max: 1,000,000 EXP)"	45	"  1, 10,  1,106,  6, 71, 11, 43, 16,341, 21, 28, 26,203, 31,453, 36, 72, 41,319, 46,246, 51,378"	30	80	90	55	55	45	99	"2,9"	"61, 62, 229, 91, 175, 282, 109, 341, 196, 103"	"12.5% female, 87.5% male"	70	7680	","	"0,0,1,0,0,0"	"Swift Swim, Battle Armor"	ROCK/WATER	    03    0607    10    1314    171819  21          2728      32        37  39    4243444546                55    58                    69            76  78  80  8283      87    90        H3    H6H7  
141	KABUTOPS	Shellfish Pokémon	A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.	"Medium (max: 1,000,000 EXP)"	45	"  1, 10,  1,106,  1, 71,  6, 71, 11, 43, 16,341, 21, 28, 26,203, 31,453, 36, 72, 40,163, 45,319, 54,246, 63,378, 72,400"	60	115	105	80	65	70	199	"2,9"		"12.5% female, 87.5% male"	70	7680	","	"0,2,0,0,0,0"	"Swift Swim, Battle Armor"	ROCK/WATER	    03    0607    10    131415  171819  21          2728    3132        37  3940  4243444546                55    58                  6869  71      7576  78  80818283      87    90    H1  H3    H6H7H8
142	AERODACTYL	Fossil Pokémon	"Its stomach can digest any kind of food, even if it happens to be moldy or rotten."	"Slow (max: 1,250,000 EXP)"	45	"  1,423,  1,424,  1,422,  1, 17,  1, 48,  1, 44,  1,184,  9, 46, 17, 97, 25,246, 33,242, 41, 36, 49,442, 57, 63, 65,157, 73,416"	80	105	65	130	60	75	202	"4,4"	"18, 228, 193, 211, 225, 174, 372"	"12.5% female, 87.5% male"	70	8960	","	"0,0,0,2,0,0"	"Rock Head, Pressure"	ROCK/FLYING	  02    0506      101112    15  1718    21  23    2627        32    35  3738394041424344454647      51            5859            66  6869  71        76  78  80  8283      87    90      H2  H4H5H6    
143	SNORLAX	Sleeping Pokémon	A legendary bird Pokémon. It can create blizzards by freezing moisture in the air.	"Slow (max: 1,250,000 EXP)"	25	"  1, 33,  4,111,  9,133, 12,122, 17,187, 20,281, 25,156, 28,173, 28,214, 33, 34, 36,335, 41,205, 44,242, 49,416"	160	110	65	30	65	110	154	"1,1"	"122, 204, 38, 174, 90, 164, 18, 228"	"12.5% female, 87.5% male"	70	10240	"TM41,"	"2,0,0,0,0,0"	"Immunity, Thick Fat"	NORMAL	01  03    06      1011  131415  1718    2122  24252627  29303132  3435  373839    42434445            52      56  58                6768                  78  80  8283      87    90        H3H4  H6  H8
